jubilado_id,nombre,apellido,genero,edad,hijos,endeudamiento,historial_delitos,voluntario
1,Dionisia,Bermúdez,female,61,1,True,0,False
2,Fabian,Porta,male,70,2,False,0,False
3,Maximo,Sotelo,unknown,74,0,False,0,True
4,Dan,Arnaiz,male,78,4,True,0,False
5,America,Barón,female,84,2,False,0,False
6,Marc,Rincón,male,76,2,False,0,False
7,Buenaventura,Lago,male,69,2,False,0,False
8,Lina,Agustín,female,73,4,False,0,False
9,Milagros,Bosch,female,67,4,False,0,False
10,Ernesto,Cámara,male,78,1,False,0,False
11,Alfonso,Dávila,male,64,1,False,0,False
12,Marco,Vallejo,male,61,0,False,0,False
13,Ildefonso,Román,male,73,7,False,0,False
14,Alma,Tamayo,female,61,0,False,0,False
15,Paulino,Gárate,male,67,2,False,0,False
16,Melisa,Mate,female,73,0,False,0,False
17,Elisa,Marin,female,71,2,False,0,False
18,Ale,Gomila,male,75,2,False,0,False
19,Jordan,Adadia,male,90,5,False,0,False
20,Maria,Campo,female,72,2,False,0,False
21,Micaela,Campillo,female,76,0,False,0,False
22,Wilfredo,Castells,male,72,2,True,0,False
23,Aitor,Oliva,male,78,8,False,0,False
24,Sandra,Cabañas,female,65,2,True,0,False
25,Julie,Zorrilla,female,84,1,False,0,False
26,Fabiana,Sala,female,80,2,True,0,True
27,Margarita,Rueda,female,60,3,True,0,False
28,Vilma,Carrasco,female,87,0,False,0,False
29,Teofila,Terrón,female,70,4,False,0,False
30,Jose,Espinosa,male,64,3,False,0,False
31,Imelda,Castelló,female,67,1,False,2,False
32,Alejandro,Calderon,male,71,2,False,0,False
33,Narcisa,Puerta,female,72,0,False,0,False
34,Dimas,Dalmau,male,69,1,False,0,False
35,Venceslas,Domingo,unknown,74,1,False,0,False
36,Cesar,Llobet,male,72,2,False,0,False
37,Patricia,Ortiz,female,74,0,True,0,False
38,Ezequiel,Ojeda,male,61,1,False,0,False
39,Angela,Barba,female,80,1,False,0,False
40,Aitor,Saldaña,male,64,2,False,0,False
41,Cirino,Cobo,male,60,1,False,0,False
42,Jose,Manuel,male,72,2,False,0,False
43,Mohamed,Sarabia,male,61,1,False,0,False
44,Cirino,Barranco,male,62,1,True,0,False
45,Griselda,Catalán,female,80,1,False,0,False
46,Cesar,Blanca,male,82,1,False,0,False
47,Anita,Barba,female,90,2,False,0,False
48,Amilcar,Amorós,male,69,0,False,0,False
49,Sonia,Miró,female,60,1,False,0,False
